hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-34c	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-34c	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-34c	nasopharyngeal carcinoma (NPC)	down-regulated	microarray	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-34c	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-34c	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-351	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-352	vascular disease	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-361	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-361	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-361	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-361	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-362	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-362	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-362	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-362	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-362	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-363	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-365	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-365	vascular disease	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-367	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-367	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-367	testicular germ cell tumor	up-regulated	microarray	2007	High-throughput microRNAome analysis in human germ cell tumours.
hsa-miR-368	epithelial ovarian cancer (EOC)	down-regulated	Northern blot, qRT-PCR etc	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-368	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-148b	autism spectrum disorder (ASD)	up-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-148b	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-148b	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-148b	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-148b	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-148b	pancreatic cancer	down-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-148b	pancreatic ductal adenocarcinoma (PDAC)	down-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-149	breast cancer	up-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-149	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-149	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-149	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-149	follicular lymphoma (FL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-149	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-149	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-149	pituitary adenoma	up-regulated	Northern blot, qRT-PCR etc	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-15	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2002	Frequent deletions and down-regulation of micro-RNA genes miR15 and miR16 at 13q14 in chronic lymphocytic leukemia.
hsa-miR-150	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-150	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs are aberrantly expressed in hypertrophic heart: do they play a role in cardiac hypertrophy?
hsa-miR-150	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2007	Quantitative technologies establish a novel microRNA profile of chronic lymphocytic leukemia.
hsa-miR-150	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-150	epithelial ovarian cancer (EOC)	down-regulated	microarray	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-150	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-153	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-15a	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-15a-2	prostate cancer	up-regulated	microarray	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-miR-15b	gastric cancer (stomach cancer)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.
hsa-miR-15b	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-15b	acute promyelocytic leukemia (APL)	up-regulated	microarray	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-15b	autism spectrum disorder (ASD)	up-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-15b	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-15b	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-15b	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-15b	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Prognostic Values of microRNAs in Colorectal Cancer.
hsa-miR-15b	non-small cell lung cancer (NSCLC)	up-regulated	microarray	2008	MicroRNA signatures of TRAIL resistance in human non-small cell lung cancer.
hsa-let-7c	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-let-7c	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-let-7c	cervical cancer	down-regulated	microarray	2007	Patterns of known and novel small RNAs in human cervical cancer.
hsa-let-7c	Down syndrome (DS)	up-regulated	Northern blot, qRT-PCR etc	2008	Human chromosome 21-derived miRNAs are overexpressed in down syndrome brains and hearts.
hsa-let-7c	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-let-7c	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-let-7c	lung cancer	up-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-let-7c	lung cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Homozygous deletion scanning of the lung cancer genome at a 100-kb resolution.
hsa-let-7c	prostate cancer	up-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-let-7c	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-let-7c	uterine leiomyoma (ULM)	up-regulated	Northern blot, qRT-PCR etc	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-miR-133a	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA-133 controls cardiac hypertrophy.
hsa-miR-133a	cardiomyopathy	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA miR-133 represses HERG K+ channel expression contributing to QT prolongation in diabetic hearts.
hsa-miR-186	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-222	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-106a	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA expression profiles associated with prognosis and therapeutic outcome in colon adenocarcinoma.
hsa-miR-125b-2	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-147	acute promyelocytic leukemia (APL)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-195	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-433	Parkinson's disease	normal	Northern blot, qRT-PCR etc	2008	Variation in the miRNA-433 binding site of FGF20 confers risk for Parkinson disease by overexpression of alpha-synuclein.
hsa-miR-518b	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-9*	follicular lymphoma (FL)	up-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-99a	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-122a	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-130a	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-143	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-199a*	uveal melanoma	up-regulated	microarray	2008	Micro-RNAs associated with metastasis in uveal melanoma identified by multiplexed microarray profiling.
hsa-miR-200c	serous ovarian cancer	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-155	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-let-7f	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-let-7f	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-let-7f-1	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-let-7f-1	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
